Date,Open,High,Low,Close,Volume
2020-09-28,310.64789110122877,312.2700155081227,309.6503653899457,311.55218505859375,64584600
2020-09-29,311.34715281415293,312.09295010347984,309.1563341575337,309.85552978515625,51304000
2020-09-30,310.52671711516024,315.37448419721386,310.3309503317547,312.2048034667969,104081100
2020-10-01,314.81510069439906,315.7939629952713,312.3166489842904,314.2091369628906,88698700
2020-10-02,309.23092876593313,314.1812314984031,308.7554666384085,311.2259521484375,89431100
2020-10-05,313.29546723442024,316.9312775625966,313.2488655886786,316.7448425292969,45713100
2020-10-06,316.88473389843483,318.9916521575981,311.72933343138027,312.2420654296875,90128900
2020-10-07,315.21603328200314,318.488277961641,315.188066594585,317.6772155761719,56999600
2020-10-08,319.6256190354236,320.55787982978075,318.7026615027777,320.49261474609375,45242500
2020-10-09,322.1520508535046,323.8208057090029,321.5274520282108,323.35467529296875,59528600
2020-10-12,325.9091143938743,330.0390237301236,325.4150172097446,328.5567321777344,80388500
2020-10-13,328.4167998932719,328.593931703181,325.4428859694368,326.4124450683594,73255500
2020-10-14,326.99046289482385,328.0905237679991,323.625015193752,324.3614807128906,57727900
2020-10-15,320.42741624843734,324.4454588310538,319.8867173935012,323.960693359375,60357700
2020-10-16,325.3217216685026,326.9904764710436,323.58773023204765,323.7648620605469,89501900
2020-10-19,325.0327574021243,325.6666879866406,317.9382656025847,318.8425598144531,68425600
2020-10-20,320.19425828070683,323.38260245483957,319.4298261141032,320.11968994140625,60051900
2020-10-21,320.07309716356906,322.25461253469484,319.20610142268265,319.5137634277344,63575000
2020-10-22,319.7281329030727,321.85368623549795,317.5746128866816,321.266357421875,55399300
2020-10-23,322.49691958897023,322.5528529519021,319.88660115102704,322.3570861816406,49143900
2020-10-26,318.95434851811797,319.7467757800183,312.88532243444337,316.39996337890625,91473000
2020-10-27,316.74495480868086,317.0805550577835,315.09483489956324,315.30926513671875,65994100
2020-10-28,309.6038191727914,315.3372174361068,304.03822102637105,304.5323181152344,127094300
2020-10-29,304.76536357333373,310.8157267045001,303.06864218928894,307.6274108886719,90597700
2020-10-30,306.04259599435824,307.35708722963943,300.74736110283595,304.42047119140625,120287300
2020-11-02,307.83245849609375,309.84611633614765,305.07294666278125,307.83245849609375,86068300
2020-11-03,311.0860913879369,315.33719812431735,307.9164105336659,313.267578125,93294200
2020-11-04,317.770379479061,324.3708013943451,316.5864185914475,320.26885986328125,126959700
2020-11-05,325.58269298423437,328.33287322005737,325.2284293931427,326.51495361328125,82039700
2020-11-06,326.22602996906056,327.6990180332205,324.1004763849942,326.4404602050781,74973000
2020-11-09,339.31499783716447,339.6972282167432,330.0762889878164,330.54241943359375,172304200
2020-11-10,329.5448871543146,331.12041030696304,326.766767958789,330.0576477050781,85552000
2020-11-11,332.2577623282602,333.3391883318111,331.0085361992471,332.5094909667969,58649000
2020-11-12,331.4932669149927,332.55605783240196,327.46592207358316,329.2838134765625,67546200
2020-11-13,331.20424612138106,334.5883569886308,330.68218240938904,333.8425598144531,62892200
2020-11-16,336.52750492383075,338.2055629393037,335.23164878994646,338.0097961425781,74541100
2020-11-17,335.58586975925397,337.40378942011074,334.06628033664794,336.19183349609375,66111000
2020-11-18,336.4622460448913,337.0122764984411,332.1085756256408,332.1458740234375,70591300
2020-11-19,331.51198954163175,333.9172102021553,330.160199824641,333.5443115234375,59940900
2020-11-20,333.2832111745545,333.48830967329087,331.1856245307985,331.26019287109375,70417300
2020-11-23,333.07817154661024,334.5138612915198,330.831419374816,333.2459716796875,63230600
2020-11-24,335.8096089274794,339.1657530390702,334.9519450408349,338.61572265625,62415900
2020-11-25,338.53185265789205,338.5598193425402,336.9936281015618,338.09368896484375,45330900
2020-11-27,339.1937467150843,339.510711954968,338.01908906996096,339.0352783203125,28514100
2020-11-30,338.2521322440398,338.5224958091231,334.8400831689641,337.5343017578125,83872700
2020-12-01,340.8065739456196,342.77363049931466,340.20991340115773,341.22607421875,74231400
2020-12-02,340.10738433573124,342.10240760927593,339.529387204614,341.9439392089844,45927000
2020-12-03,341.84134577914966,343.24906853668045,340.7412849840267,341.8506774902344,62882000
2020-12-04,342.43807300794776,344.79669189453125,342.3448412299502,344.79669189453125,50749900
2020-12-07,344.022808658057,344.582170728104,342.81088121490234,344.08807373046875,48944300
2020-12-08,342.81092050959734,345.66363609845934,342.76431885272535,345.094970703125,42458900
2020-12-09,345.756856938236,345.91532532686597,341.1608184625429,341.9998474121094,74098300
2020-12-10,340.6201110540834,342.94143125412984,339.7437836592183,341.88800048828125,57735400
2020-12-11,340.18190134287244,341.89725750389533,338.65300868970854,341.487060546875,57698600
2020-12-14,343.66862960375323,344.75002707857266,339.7810896102844,339.9582214355469,69216200
2020-12-15,342.51254618440765,344.55419921875,341.1328186746745,344.55419921875,63865300
2020-12-16,344.76867375400104,346.01789973177443,343.8830146707132,345.094970703125,58420500
2020-12-17,346.7450524040855,347.2298177334712,345.9153267120729,347.02471923828125,64119500
2020-12-18,347.3149364688755,347.48345183278127,343.61679852181237,345.6390686035156,136542300
2020-12-21,341.6975863159967,354.3273835242469,338.94505395818203,344.4032897949219,96386700
2020-12-22,344.73099432258715,344.843337922766,342.6900093950238,343.8228454589844,47949000
2020-12-23,344.7964934994354,346.05104449361977,343.80408706266854,344.13177490234375,46201400
2020-12-24,344.6092021756435,345.498636430874,344.01939840658713,345.4705505371094,26457900
2020-12-28,348.0358434497332,348.8316485795175,347.4085822635312,348.4384460449219,39000400
2020-12-29,349.97386928148484,350.1517561492149,347.1838797622155,347.7737121582031,53680500
2020-12-30,348.5976463757272,349.30919393474636,347.87675589782754,348.26995849609375,49455300
